"uuid","time_begin","time_end","distance","origin_lat","origin_lng","destination_lat","destination_lng","type","pass_is","jam"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-19 04:55:12","2022-10-19 05:29:18",22266,36.3334425,127.4085162,36.4691066,127.271921,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-19 14:57:11","2022-10-19 15:33:45",28463,36.469136,127.2716564,36.335102,127.4075987,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-20 04:23:02","2022-10-20 04:57:12",22272,36.3334631,127.4085656,36.4691187,127.2720359,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-20 13:26:49","2022-10-20 14:06:43",28871,36.4690646,127.2719427,36.3335201,127.4086809,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-22 12:22:26","2022-10-22 13:08:24",30377,36.3331583,127.4087927,36.4698638,127.2716137,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-23 01:09:26","2022-10-23 01:44:11",29041,36.469553,127.2711236,36.3334546,127.4086366,"StoD","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-23 13:05:04","2022-10-23 13:44:47",28697,36.3348271,127.4072785,36.4694541,127.2725825,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-23 22:42:17","2022-10-23 23:32:31",28964,36.469463,127.2718175,36.3335231,127.408645,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-24 14:28:57","2022-10-24 15:08:34",28920,36.3333625,127.4086421,36.469231,127.2722632,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-25 00:04:37","2022-10-25 00:41:59",28866,36.4691077,127.2715573,36.3335338,127.4086333,"StoD","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-25 10:43:15","2022-10-25 11:29:38",30111,36.3335179,127.4086705,36.4691992,127.2722856,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-25 23:53:06","2022-10-26 00:30:41",29097,36.4695581,127.2713397,36.3335127,127.4086358,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-26 15:04:23","2022-10-26 15:44:48",28878,36.3335222,127.4086586,36.4691816,127.2720031,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-27 00:36:02","2022-10-27 01:12:46",28894,36.4691872,127.2715995,36.3335053,127.4086344,"StoD","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-27 10:23:03","2022-10-27 11:01:45",31618,36.4254186,127.4204368,36.5662329,127.2844536,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-27 13:01:37","2022-10-27 13:41:48",26170,36.4803063,127.2980166,36.3335231,127.4087087,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-28 13:28:17","2022-10-28 14:07:49",24733,36.3615346,127.3871998,36.4813204,127.2914599,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-10-28 14:27:18","2022-10-28 15:02:39",26291,36.4799871,127.2975095,36.3335498,127.4085931,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-01 12:23:33","2022-11-01 12:59:24",25643,36.3382615,127.4088597,36.4849293,127.2998227,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-01 23:11:28","2022-11-01 23:51:17",29073,36.4696497,127.2713043,36.3335157,127.4086664,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-02 14:05:58","2022-11-02 14:45:58",28811,36.3333511,127.4086818,36.4690942,127.2715477,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-03 00:10:47","2022-11-03 00:44:59",28556,36.4678347,127.2749982,36.3335108,127.4086609,"StoD","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-03 10:38:22","2022-11-03 11:22:37",29273,36.3332258,127.4083835,36.4694838,127.2713937,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-03 23:51:35","2022-11-04 00:34:00",29038,36.4696316,127.2712954,36.3335064,127.4086767,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-04 10:04:56","2022-11-04 10:39:45",27389,36.3327819,127.431894,36.4786876,127.2886818,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-04 13:25:31","2022-11-04 14:02:58",25976,36.4859701,127.3012298,36.3331328,127.4317171,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-05 03:49:27","2022-11-05 04:24:13",22269,36.3335304,127.4087867,36.469051,127.2718217,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-05 13:21:35","2022-11-05 13:59:41",28933,36.4690456,127.2715486,36.3335524,127.4086037,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-06 04:45:22","2022-11-06 05:16:27",22676,36.3332707,127.4087424,36.4691323,127.2720618,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-06 14:58:00","2022-11-06 15:39:30",28936,36.4692766,127.2716821,36.3335848,127.4085859,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-07 04:29:03","2022-11-07 05:02:06",22180,36.3333066,127.4083045,36.4691631,127.2723606,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-07 13:23:47","2022-11-07 13:47:35",15252,36.4802217,127.2976119,36.4251558,127.4202435,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-09 12:05:22","2022-11-09 12:46:26",28786,36.3332123,127.408513,36.4691986,127.2717063,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-10 01:13:52","2022-11-10 01:49:30",28848,36.4691939,127.2717029,36.3334724,127.4086218,"StoD","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-10 12:41:22","2022-11-10 13:22:22",29115,36.3337256,127.4079308,36.4697729,127.2713545,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-10 22:58:23","2022-11-10 23:35:30",29029,36.4696036,127.2712459,36.3335218,127.408635,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-11 14:17:33","2022-11-11 14:58:36",29433,36.3356544,127.4068535,36.4689472,127.2725649,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-12 10:29:30","2022-11-12 11:13:31",28818,36.3342817,127.4075648,36.4692732,127.2725199,"DtoS","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-12 23:55:44","2022-11-13 00:39:31",28938,36.4690299,127.2716523,36.3335259,127.408649,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-14 03:55:07","2022-11-14 04:29:53",21979,36.3329097,127.4064828,36.4689631,127.2723856,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-14 12:41:38","2022-11-14 13:07:47",17510,36.4689999,127.2721318,36.4321211,127.4235346,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-15 04:47:55","2022-11-15 05:15:37",22077,36.3334646,127.4076041,36.4691502,127.2723009,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-15 15:29:43","2022-11-15 16:07:48",28946,36.4690695,127.2717153,36.3335738,127.4086148,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-16 04:18:49","2022-11-16 04:53:25",22194,36.3334366,127.4086111,36.469139,127.2719938,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-16 13:47:43","2022-11-16 14:42:05",32488,36.4688462,127.2734568,36.3335568,127.4086331,"StoD","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-16 14:53:21","2022-11-17 04:52:34",22257,36.3335723,127.4086264,36.4691213,127.2719395,"DtoS","false","false"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-17 14:27:53","2022-11-17 15:07:59",28955,36.469104,127.2719763,36.333585,127.4085917,"StoD","false","true"
"16543313bc9a4b0d945079a3fa78e44d","2022-11-18 13:41:43","2022-11-18 14:27:08",28934,36.4689064,127.2720791,36.3336247,127.4086774,"StoD","false","true"
"1db3810b207b4701b2059b98430d8d61","2022-10-29 11:35:12","2022-10-29 13:00:41",61044,36.3154651,127.4382982,36.5625579,127.2836358,"DtoS","false","true"
"1db3810b207b4701b2059b98430d8d61","2022-10-29 15:19:51","2022-10-29 16:27:33",33985,36.5021289,127.2435372,36.3257939,127.4028689,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-10-26 18:57:25","2022-10-26 20:29:49",36784,36.501596,127.26002,36.336177,127.382879,"StoD","true","true"
"245675c877434ac3add06546157f1f1b","2022-10-28 07:49:06","2022-10-28 08:35:34",32674,36.334365,127.431296,36.504332,127.261232,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-10-28 18:20:50","2022-10-28 20:05:27",35714,36.493169,127.256195,36.337866,127.38176,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-10-29 08:19:24","2022-10-29 10:50:32",32390,36.343481,127.422149,36.508008,127.259033,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-10-29 12:18:47","2022-10-29 13:37:08",29708,36.486171,127.301324,36.337898,127.38154,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-10-31 07:28:50","2022-10-31 08:53:40",26215,36.339459,127.381489,36.507305,127.261454,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-10-31 19:00:12","2022-10-31 20:42:06",74916,36.51875,127.246479,36.3572,127.363046,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-02 07:33:12","2022-11-02 08:41:32",22856,36.339345,127.381366,36.495284,127.261616,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-11-02 17:52:05","2022-11-02 19:13:41",30002,36.507347,127.261409,36.313539,127.395536,"StoD","true","false"
"245675c877434ac3add06546157f1f1b","2022-11-04 07:38:30","2022-11-04 08:57:23",25309,36.339812,127.381995,36.50736,127.261454,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-11-04 17:53:11","2022-11-04 19:23:03",35892,36.508558,127.262987,36.317942,127.414702,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-05 07:56:29","2022-11-05 08:33:19",24346,36.339836,127.382032,36.50722,127.261046,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-11-05 17:15:54","2022-11-05 18:34:00",33112,36.506859,127.259758,36.338595,127.380264,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-07 16:43:19","2022-11-07 17:39:54",23470,36.33951,127.381608,36.497603,127.262496,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-11-07 18:05:52","2022-11-07 19:18:52",24742,36.498376,127.262145,36.339691,127.38901,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-08 07:56:24","2022-11-08 08:50:28",33554,36.332418,127.432169,36.504147,127.26126,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-11-08 17:46:55","2022-11-08 18:45:45",33163,36.503169,127.260688,36.333564,127.43152,"StoD","true","false"
"245675c877434ac3add06546157f1f1b","2022-11-09 07:56:21","2022-11-09 08:49:05",33258,36.332822,127.43204,36.504297,127.261336,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-11-09 19:13:15","2022-11-09 19:59:08",22947,36.494287,127.26261,36.337407,127.381405,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-10 07:48:58","2022-11-10 09:03:37",25421,36.338799,127.380659,36.507621,127.262904,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-11-10 18:41:47","2022-11-10 19:25:52",29914,36.492583,127.256212,36.343922,127.421467,"StoD","true","false"
"245675c877434ac3add06546157f1f1b","2022-11-11 08:52:01","2022-11-11 09:36:02",23794,36.337598,127.381252,36.496282,127.263089,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-11-11 10:11:49","2022-11-11 11:00:51",23562,36.49715,127.263763,36.336212,127.383896,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-11 16:45:29","2022-11-11 18:04:28",26476,36.337122,127.385927,36.498459,127.264017,"DtoS","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-11 18:12:56","2022-11-11 19:34:04",24529,36.496847,127.263589,36.332741,127.393411,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-12 08:23:01","2022-11-12 09:05:03",31371,36.345569,127.419297,36.504281,127.261328,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-11-12 17:44:29","2022-11-12 18:30:35",31527,36.502793,127.260482,36.343917,127.421481,"StoD","true","false"
"245675c877434ac3add06546157f1f1b","2022-11-15 08:01:12","2022-11-15 09:00:25",33405,36.331483,127.432446,36.50447,127.261228,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-11-15 18:35:39","2022-11-15 19:15:06",29805,36.487313,127.257553,36.343924,127.421445,"StoD","true","false"
"245675c877434ac3add06546157f1f1b","2022-11-16 08:44:17","2022-11-16 09:31:44",31402,36.345458,127.419354,36.504258,127.261316,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-11-16 18:59:13","2022-11-16 19:46:47",33030,36.501971,127.260058,36.333654,127.431458,"StoD","true","false"
"245675c877434ac3add06546157f1f1b","2022-11-17 08:59:51","2022-11-17 09:54:40",33355,36.332379,127.432225,36.504232,127.261303,"DtoS","true","true"
"245675c877434ac3add06546157f1f1b","2022-11-17 19:52:42","2022-11-17 20:41:36",23187,36.49482,127.262716,36.338791,127.380657,"StoD","false","false"
"245675c877434ac3add06546157f1f1b","2022-11-18 07:43:25","2022-11-18 08:59:19",25803,36.337644,127.381242,36.507667,127.263007,"DtoS","false","true"
"245675c877434ac3add06546157f1f1b","2022-11-18 18:40:14","2022-11-18 19:20:12",27457,36.470737,127.273116,36.343942,127.421431,"StoD","false","false"
"26b51bf63ba84999a1dea2c070ceda0d","2022-10-20 13:54:29","2022-10-20 15:20:02",57377,36.3109192,127.4559689,36.5917836,127.2880998,"DtoS","false","true"
"26b51bf63ba84999a1dea2c070ceda0d","2022-10-20 17:03:55","2022-10-20 18:51:38",56243,36.5055728,127.2677827,36.3341966,127.4478814,"StoD","false","false"
"26b51bf63ba84999a1dea2c070ceda0d","2022-11-03 13:53:12","2022-11-03 14:32:20",37495,36.3053939,127.4452162,36.4567702,127.2833992,"DtoS","false","true"
"26b51bf63ba84999a1dea2c070ceda0d","2022-11-08 13:40:57","2022-11-08 14:23:56",41765,36.3033359,127.4426704,36.482367,127.2621074,"DtoS","false","true"
